Updated 01/25/26 at 12:08am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Jarquez Hunter,RB75,RB,LAR,2009,23.1,Yes,RB75,1685,,0
Christian Kirk,WR101,WR,HOU,2005,29.2,No,WR93,1788,,0
Will Shipley,RB76,RB,PHI,1993,23.4,No,RB73,1713,,0
2027 Early 4th,,PI,,1985,,,,1835,,0
Jimmy Horn,WR102,WR,CAR,1982,23.4,Yes,WR103,1672,,0
Savion Williams,WR103,WR,GBP,1975,24.2,Yes,WR106,1549,,0
Devaughn Vele,WR104,WR,NOS,1963,28.1,No,WR95,1766,,0
Calvin Ridley,WR105,WR,TEN,1942,31.1,No,WR104,1652,,0
Jordan James,RB77,RB,SFO,1919,21.8,Yes,RB76,1644,,0
2026 Mid 4th,,PI,,1917,,,,1719,,0
2027 Mid 4th,,PI,,1910,,,,1658,,0
Kareem Hunt,RB78,RB,KCC,1891,30.5,No,RB83,1471,,0
Dawson Knox,TE42,TE,BUF,1865,29.2,No,TE42,1599,,0
Devin Singletary,RB79,RB,NYG,1859,28.4,No,RB80,1586,,0
Joe Mixon,RB80,RB,HOU,1841,29.5,No,RB79,1589,,0
Jordan Whittington,WR106,WR,LAR,1840.99,25.3,No,WR108,1484,,0
KeAndre Lambert-Smith,WR107,WR,LAC,1838,24.3,Yes,WR105,1607,,0
Isaac Guerendo,RB81,RB,SFO,1827,25.6,No,RB81,1501,,0
Jonnu Smith,TE43,TE,PIT,1809,30.4,No,TE43,1510,,0
2026 Late 4th,,PI,,1806,,,,1598.99,,0
Michael Carter,RB82,RB,ARI,1785,26.7,No,RB77,1615,,0
Jaleel McLaughlin,RB83,RB,DEN,1784.99,25.4,No,RB84,1462,,0
2028 Early 4th,,PI,,1782,,,,1569,,0
Cooper Kupp,WR108,WR,SEA,1770,32.6,No,WR107,1511,,0
2027 Late 4th,,PI,,1752,,,,1509,,0
Dillon Gabriel,QB34,QB,CLE,1751,25.1,Yes,QB42,1623,,0
Emari Demercado,RB84,RB,ARI,1750.99,27.0,No,RB85,1378,,0
Jahan Dotson,WR109,WR,PHI,1734,25.8,No,WR113,1399,,0
Kendrick Bourne,WR110,WR,SFO,1725,30.5,No,WR111,1424,,0
Joshua Palmer,WR111,WR,BUF,1723,26.3,No,WR112,1406,,0
Malik Davis,RB85,RB,DAL,1704,27.2,No,RB82,1475,,0
Jalen Tolbert,WR112,WR,DAL,1703.99,26.9,No,WR114,1396,,0
Ty Johnson,RB86,RB,BUF,1702,28.4,No,RB86,1360,,0
Tommy Tremble,TE44,TE,CAR,1686,25.6,No,TE44,1385,,0
Treylon Burks,WR113,WR,WAS,1670,25.8,No,WR110,1430,,0
Xavier Restrepo,WR114,WR,TEN,1668,23.8,Yes,WR109,1438,,0
2028 Mid 4th,,PI,,1659,,,,1485,,0
Noah Fant,TE45,TE,CIN,1641,28.2,No,TE47,1361,,0
Jerome Ford,RB87,RB,CLE,1639,26.4,No,RB87,1326,,0
Tutu Atwell,WR115,WR,LAR,1608,26.3,No,WR116,1359.99,,0
Greg Dulcich,TE46,TE,MIA,1604,25.8,No,TE46,1365,,0
Greg Dortch,WR116,WR,ARI,1579,27.6,No,WR115,1374,,0
Aaron Rodgers,QB35,QB,PIT,1569,42.1,No,QB40,1622.99,,0
Efton Chism,WR117,WR,NEP,1566,24.2,Yes,WR118,1328,,0
Cade Stover,TE47,TE,HOU,1562,25.6,No,TE49,1292,,0
Mike Gesicki,TE48,TE,CIN,1557,30.3,No,TE45,1364.99,,0
Dyami Brown,WR118,WR,JAC,1556,26.2,No,WR124,1244,,0
Tyrell Shavers,WR119,WR,BUF,1545,26.4,No,WR123,1259,,0
Jalin Hyatt,WR120,WR,NYG,1539,24.3,No,WR122,1265,,0
Roschon Johnson,RB88,RB,CHI,1534,25.0,No,RB88,1291,,0
Konata Mumpfield,WR121,WR,LAR,1529,23.2,Yes,WR117,1344,,0
Daniel Bellinger,TE49,TE,NYG,1518,25.3,No,TE48,1298,,0
2028 Late 4th,,PI,,1512,,,,1245,,0
Joe Milton,QB36,QB,DAL,1500,25.9,No,QB39,1674,,0
Devontez Walker,WR122,WR,BAL,1499,24.6,No,WR119,1269,,0
Geno Smith,QB37,QB,LVR,1486,35.3,No,QB47,1484.99,,0
Raheim Sanders,RB89,RB,CLE,1485.99,23.6,Yes,RB89,1288,,0
Olamide Zaccheaus,WR123,WR,CHI,1472,28.5,No,WR121,1266,,0
Kameron Johnson,WR124,WR,TBB,1469,23.8,No,WR127,1187,,0
Darren Waller,TE50,TE,MIA,1462,33.4,No,TE50,1282,,0
Justice Hill,RB90,RB,BAL,1461,28.2,No,RB91,1184,,0
KaVontae Turpin,WR125,WR,DAL,1457,29.5,No,WR125,1241,,0
Trey Palmer,WR126,WR,NOS,1451,24.8,No,WR130,1146,,0
Malachi Corley,WR127,WR,CLE,1424,23.8,No,WR126,1217,,0
Ja'Lynn Polk,WR128,WR,NOS,1409,23.8,No,WR120,1267,,0
Kalel Mullings,RB91,RB,TEN,1408,23.3,Yes,RB93,1145.99,,0
Quinn Ewers,QB38,QB,MIA,1397,22.7,Yes,QB35,2155,,0
Phil Mafah,RB92,RB,DAL,1393,23.2,Yes,RB95,1114,,0
Gabriel Davis,WR129,WR,BUF,1383,26.8,No,WR132,1117,,0
Davis Allen,TE51,TE,LAR,1373,25.0,No,TE54,1113.99,,0
Rasheen Ali,RB93,RB,BAL,1368,24.9,No,RB90,1233,,0
Will Howard,QB39,QB,PIT,1367,24.3,Yes,QB37,1721,,0
